code,name
7203,トヨタ自動車
6758,ソニーグループ
9984,ソフトバンクグループ
8306,三菱UFJフィナンシャル・グループ
6861,キーエンス
9432,日本電信電話
8035,東京エレクトロン
6098,リクルートホールディングス
4063,信越化学工業
6501,日立製作所
7974,任天堂
6367,ダイキン工業
6902,デンソー
8058,三菱商事
8001,伊藤忠商事
9433,KDDI
4519,中外製薬
6981,村田製作所
8316,三井住友フィナンシャルグループ
7267,本田技研工業
6503,三菱電機
4568,第一三共
9983,ファーストリテイリング
7011,三菱重工業
6702,富士通
6971,京セラ
8411,みずほフィナンシャルグループ
4543,テルモ
6273,SMC
7751,キヤノン
9020,東日本旅客鉄道
6752,パナソニックホールディングス
8766,東京海上ホールディングス
6146,ディスコ
8031,三井物産
9022,東海旅客鉄道
4661,オリエンタルランド
6301,小松製作所
4901,富士フイルムホールディングス
8802,三菱地所
